rk,team_eng,team_3,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA,month,team,month_aft
19,Toronto Blue Jays,tor,AL,25,851,141,203,43,6,37,133,99,207,5,2,0.239,0.325,0.434,0.758,5,13,0,7,369,86,11,231,228,1.01,3755,970,201807,토론토,201808
20,Washington Nationals,was,NL,27,913,111,216,44,3,27,104,119,230,30,4,0.237,0.329,0.38,0.7090000000000001,14,11,6,8,347,74,20,289,212,1.36,4081,1057,201807,워싱턴,201808
21,Philadelphia Phillies,phi,NL,25,819,118,192,38,4,23,115,110,249,12,8,0.234,0.327,0.375,0.701,7,6,4,8,307,65,21,211,200,1.06,3927,947,201807,필라델피아,201808
22,Texas Rangers,tex,AL,27,908,105,212,46,2,29,100,87,253,12,8,0.233,0.308,0.384,0.6920000000000001,4,13,5,6,349,77,15,238,231,1.03,4011,1019,201807,텍사스,201808
23,Arizona Diamondbacks,ari,NL,25,835,114,194,48,8,33,110,94,235,12,7,0.232,0.31,0.428,0.738,5,4,5,8,357,89,18,235,202,1.16,3782,946,201807,애리조나,201808
24,Baltimore Orioles,bal,AL,26,894,93,207,46,1,30,92,75,250,11,2,0.232,0.29600000000000004,0.386,0.682,4,9,1,4,345,77,21,243,220,1.1,3865,983,201807,볼티모어,201808
25,Cleveland Indians,cle,AL,25,861,95,199,39,1,34,91,75,219,15,6,0.231,0.3,0.397,0.6970000000000001,5,10,5,2,342,74,12,230,232,0.99,3690,953,201807,클리블랜드,201808
26,San Diego Padres,sd,NL,27,915,109,211,44,4,25,100,81,279,15,7,0.231,0.3,0.369,0.67,2,12,4,4,338,73,16,260,189,1.38,3960,1016,201807,샌디에고,201808
27,New York Mets,nym,NL,24,818,112,188,35,5,24,109,97,221,11,6,0.23,0.318,0.373,0.691,9,13,6,8,305,64,20,222,221,1.0,3695,942,201807,뉴욕M,201808
28,Miami Marlins,mia,NL,25,835,84,190,32,1,19,76,72,231,8,3,0.228,0.295,0.337,0.632,4,10,4,4,281,52,18,254,186,1.37,3691,927,201807,마이애미,201808
29,Milwaukee Brewers,mil,NL,27,888,96,201,35,1,31,86,89,235,19,6,0.226,0.3,0.373,0.6729999999999999,5,7,6,6,331,67,20,267,217,1.23,3894,996,201807,밀워키,201808
30,Colorado Rockies,col,NL,27,876,103,193,36,5,27,98,95,243,16,7,0.22,0.301,0.365,0.6659999999999999,6,8,8,5,320,68,17,263,207,1.27,3883,992,201807,콜로라도,201808
1,Boston Red Sox,bos,AL,25,892,151,248,64,3,30,143,83,197,16,3,0.278,0.344,0.457,0.802,5,13,1,11,408,97,17,234,242,0.97,3861,1000,201808,보스턴,201809
2,Tampa Bay Rays,tb,AL,24,838,119,231,41,5,28,111,76,208,15,7,0.276,0.343,0.4370000000000001,0.779,1,13,3,7,366,74,22,223,208,1.07,3444,937,201808,탬파베이,201809
3,Oakland Athletics,oak,AL,25,862,130,228,50,5,33,125,86,224,6,2,0.265,0.339,0.449,0.7879999999999999,1,15,1,8,387,88,23,224,218,1.03,3906,972,201808,오클랜드,201809
4,Atlanta Braves,atl,NL,24,855,124,223,58,4,26,117,87,202,24,7,0.261,0.333,0.429,0.762,9,8,7,6,367,88,16,238,221,1.08,3613,963,201808,애틀랜타,201809
5,Los Angeles Dodgers,la,NL,25,904,128,233,58,7,25,122,97,220,7,7,0.258,0.335,0.42,0.7559999999999999,7,12,6,7,380,90,13,251,226,1.11,4155,1026,201808,LA다저스,201809
6,New York Yankees,nyy,AL,25,862,151,222,54,3,36,146,116,247,11,4,0.258,0.34600000000000003,0.452,0.7979999999999999,6,7,3,12,390,93,14,221,201,1.1,4143,1000,201808,뉴욕Y,201809
7,Chicago Cubs,chc,NL,23,778,114,200,41,10,20,105,71,183,5,5,0.257,0.334,0.413,0.747,7,20,9,2,321,71,11,206,211,0.98,3446,880,201808,시카고컵스,201809
8,Seattle Mariners,sea,AL,25,854,121,219,52,4,33,118,68,184,17,5,0.256,0.319,0.443,0.7609999999999999,4,13,5,6,378,89,15,243,234,1.04,3541,947,201808,시애틀M,201809
9,Houston Astros,hou,AL,27,901,135,231,45,2,28,130,106,234,11,5,0.256,0.337,0.404,0.741,0,11,2,14,364,75,17,219,252,0.87,4143,1035,201808,휴스턴,201809
10,Pittsburgh Pirates,pit,NL,28,943,129,240,47,6,28,123,96,206,11,6,0.255,0.326,0.406,0.732,12,9,4,11,383,81,16,257,271,0.95,4156,1063,201808,피츠버그,201809
11,Detroit Tigers,det,AL,26,890,114,222,54,9,23,111,71,196,14,5,0.249,0.311,0.408,0.718,6,12,0,9,363,86,14,248,247,1.0,3706,982,201808,디트로이트,201809
12,Kansas City Royals,kc,AL,26,890,85,220,42,2,21,78,79,193,8,7,0.247,0.317,0.37,0.687,2,14,2,4,329,65,24,242,265,0.91,3825,989,201808,캔자스시티,201809
13,San Francisco Giants,sf,NL,26,885,104,217,34,5,28,96,79,240,14,6,0.245,0.31,0.39,0.7,7,7,4,6,345,67,15,236,217,1.09,3842,981,201808,샌프란시스코,201809
14,Los Angeles Angels,ana,AL,25,861,115,209,27,4,34,109,75,196,13,1,0.243,0.31,0.402,0.711,3,11,1,6,346,65,21,234,250,0.94,3753,954,201808,LA에인절스,201809
15,Cincinnati Reds,cin,NL,27,917,110,221,45,2,19,105,105,222,12,2,0.241,0.326,0.35700000000000004,0.682,6,13,11,6,327,66,24,267,248,1.08,3957,1052,201808,신시내티,201809
16,Chicago White Sox,cws,AL,24,831,86,200,36,8,27,85,66,231,24,5,0.241,0.308,0.401,0.7090000000000001,0,17,3,4,333,71,26,251,182,1.38,3594,921,201808,시카고화이트삭스,201809
17,Minnesota Twins,min,AL,22,773,90,186,53,2,23,85,85,205,8,3,0.241,0.318,0.404,0.721,1,4,2,4,312,78,11,185,214,0.86,3550,868,201808,미네소타,201809
18,St. Louis Cardinals,stl,NL,25,851,120,204,41,0,30,115,100,216,13,8,0.24,0.324,0.394,0.718,4,12,8,11,335,71,16,243,223,1.09,3966,982,201808,세인트루이스,201809
19,Toronto Blue Jays,tor,AL,25,851,141,203,43,6,37,133,99,207,5,2,0.239,0.325,0.434,0.758,5,13,0,7,369,86,11,231,228,1.01,3755,970,201808,토론토,201809
20,Washington Nationals,was,NL,27,913,111,216,44,3,27,104,119,230,30,4,0.237,0.329,0.38,0.7090000000000001,14,11,6,8,347,74,20,289,212,1.36,4081,1057,201808,워싱턴,201809
21,Philadelphia Phillies,phi,NL,25,819,118,192,38,4,23,115,110,249,12,8,0.234,0.327,0.375,0.701,7,6,4,8,307,65,21,211,200,1.06,3927,947,201808,필라델피아,201809
22,Texas Rangers,tex,AL,27,908,105,212,46,2,29,100,87,253,12,8,0.233,0.308,0.384,0.6920000000000001,4,13,5,6,349,77,15,238,231,1.03,4011,1019,201808,텍사스,201809
23,Arizona Diamondbacks,ari,NL,25,835,114,194,48,8,33,110,94,235,12,7,0.232,0.31,0.428,0.738,5,4,5,8,357,89,18,235,202,1.16,3782,946,201808,애리조나,201809
24,Baltimore Orioles,bal,AL,26,894,93,207,46,1,30,92,75,250,11,2,0.232,0.29600000000000004,0.386,0.682,4,9,1,4,345,77,21,243,220,1.1,3865,983,201808,볼티모어,201809
25,Cleveland Indians,cle,AL,25,861,95,199,39,1,34,91,75,219,15,6,0.231,0.3,0.397,0.6970000000000001,5,10,5,2,342,74,12,230,232,0.99,3690,953,201808,클리블랜드,201809
26,San Diego Padres,sd,NL,27,915,109,211,44,4,25,100,81,279,15,7,0.231,0.3,0.369,0.67,2,12,4,4,338,73,16,260,189,1.38,3960,1016,201808,샌디에고,201809
27,New York Mets,nym,NL,24,818,112,188,35,5,24,109,97,221,11,6,0.23,0.318,0.373,0.691,9,13,6,8,305,64,20,222,221,1.0,3695,942,201808,뉴욕M,201809
28,Miami Marlins,mia,NL,25,835,84,190,32,1,19,76,72,231,8,3,0.228,0.295,0.337,0.632,4,10,4,4,281,52,18,254,186,1.37,3691,927,201808,마이애미,201809
29,Milwaukee Brewers,mil,NL,27,888,96,201,35,1,31,86,89,235,19,6,0.226,0.3,0.373,0.6729999999999999,5,7,6,6,331,67,20,267,217,1.23,3894,996,201808,밀워키,201809
30,Colorado Rockies,col,NL,27,876,103,193,36,5,27,98,95,243,16,7,0.22,0.301,0.365,0.6659999999999999,6,8,8,5,320,68,17,263,207,1.27,3883,992,201808,콜로라도,201809
1,Cleveland Indians,cle,AL,28,1013,179,287,68,3,48,173,98,224,12,6,0.28300000000000003,0.35,0.499,0.848,3,10,3,8,505,119,17,255,275,0.93,4558,1132,201809,클리블랜드,201810
2,San Francisco Giants,sf,NL,27,960,124,270,61,6,27,123,84,261,9,5,0.281,0.34,0.442,0.782,3,6,6,9,424,94,22,240,226,1.06,4201,1065,201809,샌프란시스코,201810
3,Chicago Cubs,chc,NL,27,964,144,263,52,9,36,140,122,211,12,4,0.273,0.35600000000000004,0.457,0.8140000000000001,13,7,6,7,441,97,14,266,251,1.06,4112,1106,201809,시카고컵스,201810
4,Kansas City Royals,kc,AL,28,992,135,266,52,2,29,128,74,204,18,1,0.268,0.322,0.412,0.7340000000000001,4,10,7,12,409,83,31,306,266,1.15,4019,1095,201809,캔자스시티,201810
5,Detroit Tigers,det,AL,29,1000,116,265,64,6,25,111,67,218,12,6,0.265,0.317,0.416,0.733,3,11,2,4,416,95,24,266,281,0.95,4120,1084,201809,디트로이트,201810
6,Milwaukee Brewers,mil,NL,27,908,132,240,48,2,37,126,91,242,16,3,0.264,0.332,0.444,0.7759999999999999,5,5,4,7,403,87,26,252,211,1.19,4044,1015,201809,밀워키,201810
7,Seattle Mariners,sea,AL,29,987,118,258,48,4,25,111,86,224,22,6,0.261,0.33,0.394,0.7240000000000001,1,20,12,9,389,77,25,302,249,1.21,4267,1115,201809,시애틀M,201810
8,Boston Red Sox,bos,AL,29,1008,144,263,58,7,50,138,85,222,22,5,0.261,0.321,0.481,0.802,2,7,1,7,485,115,22,300,253,1.19,4356,1108,201809,보스턴,201810
9,Atlanta Braves,atl,NL,29,988,131,256,43,4,35,125,103,213,13,8,0.259,0.331,0.417,0.748,10,6,4,7,412,82,20,277,273,1.01,4170,1108,201809,애틀랜타,201810
10,Houston Astros,hou,AL,28,976,138,252,59,2,34,132,76,230,17,7,0.258,0.318,0.4270000000000001,0.746,2,12,3,4,417,95,25,278,248,1.12,4091,1071,201809,휴스턴,201810
11,New York Yankees,nyy,AL,25,861,135,222,44,3,46,131,91,217,12,2,0.258,0.334,0.476,0.81,2,11,2,8,410,93,9,223,218,1.02,3853,973,201809,뉴욕Y,201810
12,Colorado Rockies,col,NL,26,900,120,232,39,8,34,115,85,219,18,2,0.258,0.324,0.4320000000000001,0.757,6,6,4,5,389,81,21,275,204,1.35,3777,1000,201809,콜로라도,201810
13,Pittsburgh Pirates,pit,NL,27,920,123,237,48,11,33,121,83,201,9,4,0.258,0.326,0.441,0.767,4,14,5,9,406,92,15,239,272,0.88,3949,1031,201809,피츠버그,201810
14,Tampa Bay Rays,tb,AL,28,957,106,245,39,6,25,98,98,231,17,8,0.256,0.331,0.388,0.7190000000000001,1,12,4,6,371,70,31,285,237,1.2,4171,1078,201809,탬파베이,201810
15,Los Angeles Angels,ana,AL,29,977,133,246,59,3,36,130,124,224,18,4,0.252,0.34,0.429,0.769,5,11,2,9,419,98,32,282,268,1.05,4535,1123,201809,LA에인절스,201810
16,Cincinnati Reds,cin,NL,28,953,116,237,42,3,32,113,91,226,12,4,0.249,0.32,0.4,0.7190000000000001,4,11,13,6,381,77,28,289,248,1.17,4002,1074,201809,신시내티,201810
17,St. Louis Cardinals,stl,NL,27,913,111,227,33,2,33,106,81,239,11,10,0.249,0.317,0.398,0.7140000000000001,5,13,16,6,363,68,25,272,222,1.23,3954,1030,201809,세인트루이스,201810
18,Chicago White Sox,cws,AL,27,901,105,221,43,8,30,101,74,249,22,5,0.245,0.304,0.411,0.7140000000000001,4,4,4,6,370,81,16,225,232,0.97,3982,989,201809,시카고화이트삭스,201810
19,New York Mets,nym,NL,28,944,98,231,46,5,31,98,80,221,11,6,0.245,0.306,0.403,0.708,1,6,0,7,380,82,19,259,259,1.0,3990,1037,201809,뉴욕M,201810
20,Washington Nationals,was,NL,27,896,119,217,47,3,42,114,86,202,12,6,0.242,0.313,0.442,0.754,7,7,7,3,396,92,18,275,230,1.2,3868,999,201809,워싱턴,201810
21,Philadelphia Phillies,phi,NL,26,872,108,210,43,4,33,101,85,244,8,2,0.241,0.313,0.413,0.726,4,8,4,2,360,80,17,233,208,1.12,3806,972,201809,필라델피아,201810
22,Miami Marlins,mia,NL,28,934,96,223,39,6,22,92,70,229,4,5,0.239,0.3,0.364,0.664,7,13,7,3,340,67,21,280,233,1.2,4037,1027,201809,마이애미,201810
23,Baltimore Orioles,bal,AL,28,951,111,226,41,4,32,109,69,237,5,3,0.238,0.293,0.39,0.6829999999999999,5,7,1,5,371,77,18,280,232,1.21,3968,1033,201809,볼티모어,201810
24,Minnesota Twins,min,AL,28,953,120,226,56,2,27,116,96,233,7,5,0.237,0.309,0.385,0.6940000000000001,6,6,5,8,367,85,21,246,282,0.87,4237,1068,201809,미네소타,201810
25,Texas Rangers,tex,AL,29,969,137,221,47,9,36,129,101,292,17,5,0.228,0.31,0.407,0.7170000000000001,6,17,8,5,394,92,22,271,220,1.23,4439,1100,201809,텍사스,201810
26,San Diego Padres,sd,NL,28,906,103,206,45,6,23,96,78,249,19,7,0.227,0.28800000000000003,0.366,0.655,6,2,7,6,332,74,22,284,202,1.41,3994,999,201809,샌디에고,201810
27,Los Angeles Dodgers,la,NL,28,915,107,206,44,5,31,102,97,231,7,1,0.225,0.305,0.386,0.69,7,11,8,8,353,80,25,257,262,0.98,4173,1039,201809,LA다저스,201810
28,Toronto Blue Jays,tor,AL,28,940,107,211,60,3,29,100,94,271,12,5,0.224,0.3,0.387,0.687,4,10,1,6,364,92,23,246,242,1.02,4125,1051,201809,토론토,201810
29,Oakland Athletics,oak,AL,29,981,104,207,52,1,34,100,88,260,5,10,0.211,0.277,0.37,0.647,3,4,1,5,363,87,16,268,268,1.0,4413,1079,201809,오클랜드,201810
30,Arizona Diamondbacks,ari,NL,27,870,77,168,25,8,22,74,80,255,18,6,0.193,0.264,0.316,0.58,2,5,8,4,275,55,10,234,235,1.0,3793,967,201809,애리조나,201810
1,Cleveland Indians,cle,AL,25,877,153,249,54,7,36,149,86,139,26,4,0.284,0.35100000000000003,0.485,0.835,6,10,7,11,425,97,14,263,258,1.02,3700,991,201810,클리블랜드,201811
2,New York Yankees,nyy,AL,25,864,140,243,46,2,37,130,97,213,10,3,0.281,0.355,0.468,0.823,5,10,3,15,404,85,22,230,218,1.06,3859,989,201810,뉴욕Y,201811
3,Colorado Rockies,col,NL,23,787,122,219,47,9,34,117,69,182,12,3,0.278,0.339,0.49,0.83,5,6,4,5,386,90,12,216,191,1.13,3272,871,201810,콜로라도,201811
4,Pittsburgh Pirates,pit,NL,26,875,127,241,47,8,36,123,66,191,19,5,0.275,0.329,0.471,0.8,4,4,8,1,412,91,21,254,219,1.16,3614,954,201810,피츠버그,201811
5,Tampa Bay Rays,tb,AL,25,884,130,242,53,6,27,126,70,209,15,8,0.274,0.341,0.439,0.78,6,24,0,8,388,86,20,259,202,1.28,3696,986,201810,탬파베이,201811
6,Washington Nationals,was,NL,25,884,140,241,33,7,35,137,106,200,12,6,0.273,0.355,0.445,0.8,8,10,5,5,393,75,17,246,224,1.1,3944,1010,201810,워싱턴,201811
7,Boston Red Sox,bos,AL,25,864,134,235,57,8,24,131,90,195,18,4,0.272,0.345,0.44,0.785,10,10,2,6,380,89,23,269,196,1.37,3858,972,201810,보스턴,201811
8,Chicago Cubs,chc,NL,25,859,122,230,50,2,25,115,98,201,14,7,0.268,0.348,0.418,0.7659999999999999,9,11,7,6,359,77,24,297,168,1.77,3727,982,201810,시카고컵스,201811
9,Minnesota Twins,min,AL,27,942,142,251,50,8,25,133,91,227,8,3,0.266,0.333,0.416,0.7490000000000001,9,6,4,6,392,83,16,250,240,1.04,4111,1049,201810,미네소타,201811
10,Oakland Athletics,oak,AL,25,873,133,230,56,6,35,129,101,205,9,4,0.263,0.34700000000000003,0.462,0.8079999999999999,3,15,3,9,403,97,25,215,260,0.83,4037,1001,201810,오클랜드,201811
11,Arizona Diamondbacks,ari,NL,26,908,131,238,52,8,23,123,102,228,11,2,0.262,0.342,0.413,0.755,5,12,9,7,375,83,20,261,217,1.2,4023,1038,201810,애리조나,201811
12,Miami Marlins,mia,NL,25,884,110,229,30,3,22,101,76,196,12,6,0.259,0.326,0.374,0.7,4,16,5,10,331,55,18,279,214,1.3,3803,991,201810,마이애미,201811
13,Baltimore Orioles,bal,AL,25,842,113,218,51,0,35,106,70,202,10,3,0.259,0.321,0.444,0.765,2,9,0,4,374,86,26,253,199,1.27,3586,925,201810,볼티모어,201811
14,Cincinnati Reds,cin,NL,24,819,119,212,45,3,25,113,92,204,13,4,0.259,0.342,0.413,0.755,8,15,9,6,338,73,21,224,215,1.04,3598,941,201810,신시내티,201811
15,St. Louis Cardinals,stl,NL,26,894,131,231,44,3,32,127,91,194,11,1,0.258,0.329,0.422,0.75,8,7,7,9,377,79,16,263,238,1.11,3887,1008,201810,세인트루이스,201811
16,Atlanta Braves,atl,NL,23,781,98,200,48,3,23,96,64,188,11,3,0.256,0.319,0.414,0.733,6,10,9,4,323,74,17,240,183,1.31,3392,868,201810,애틀랜타,201811
17,Los Angeles Angels,ana,AL,24,812,118,207,50,1,35,115,80,196,16,1,0.255,0.328,0.448,0.7759999999999999,11,12,2,7,364,86,12,202,228,0.89,3454,914,201810,LA에인절스,201811
18,Chicago White Sox,cws,AL,24,825,116,208,38,10,33,114,59,224,13,2,0.252,0.306,0.442,0.748,2,8,6,7,365,81,17,247,176,1.4,3478,905,201810,시카고화이트삭스,201811
19,Toronto Blue Jays,tor,AL,24,836,109,209,47,2,33,105,69,193,4,4,0.25,0.314,0.429,0.743,3,12,2,7,359,82,14,232,225,1.03,3618,926,201810,토론토,201811
20,Los Angeles Dodgers,la,NL,26,892,126,222,45,5,33,117,109,236,2,5,0.249,0.337,0.422,0.759,10,13,6,6,376,83,18,228,236,0.97,4117,1026,201810,LA다저스,201811
21,Texas Rangers,tex,AL,25,878,112,218,36,6,32,106,81,257,17,8,0.248,0.315,0.412,0.727,1,7,5,5,362,74,18,238,193,1.23,3946,976,201810,텍사스,201811
22,Kansas City Royals,kc,AL,24,822,100,204,45,4,26,98,57,230,14,8,0.248,0.307,0.408,0.715,1,15,4,4,335,75,5,183,218,0.84,3611,902,201810,캔자스시티,201811
23,Milwaukee Brewers,mil,NL,28,955,118,237,36,8,30,114,88,259,21,8,0.248,0.315,0.397,0.7120000000000001,4,7,4,5,379,74,17,282,203,1.39,4099,1060,201810,밀워키,201811
24,San Francisco Giants,sf,NL,25,872,93,208,41,4,16,85,75,193,9,6,0.239,0.304,0.35,0.654,8,10,5,6,305,61,19,271,230,1.18,3714,968,201810,샌프란시스코,201811
25,Philadelphia Phillies,phi,NL,26,925,114,220,38,4,32,112,90,251,4,5,0.238,0.314,0.391,0.705,6,14,6,3,362,74,13,230,246,0.93,4075,1038,201810,필라델피아,201811
26,Seattle Mariners,sea,AL,23,743,77,176,23,7,19,74,52,160,11,6,0.237,0.294,0.363,0.657,1,10,3,5,270,49,20,259,176,1.47,3074,813,201810,시애틀M,201811
27,Houston Astros,hou,AL,24,794,107,188,34,2,29,103,87,161,12,5,0.237,0.317,0.394,0.711,5,9,2,7,313,65,21,248,227,1.09,3443,900,201810,휴스턴,201811
28,Detroit Tigers,det,AL,24,795,83,176,34,2,20,76,52,213,6,7,0.221,0.273,0.345,0.618,1,6,2,4,274,56,18,227,203,1.12,3352,859,201810,디트로이트,201811
29,San Diego Padres,sd,NL,25,869,89,192,38,3,23,83,77,247,17,4,0.221,0.287,0.35100000000000003,0.638,6,5,2,3,305,64,22,243,214,1.14,3787,956,201810,샌디에고,201811
30,New York Mets,nym,NL,24,778,97,170,37,4,22,89,88,201,8,6,0.219,0.305,0.361,0.6659999999999999,7,12,3,7,281,63,17,212,222,0.95,3439,888,201810,뉴욕M,201811
